0.000000,690,8,00,00,00,00,a0,22,00,00
0.001881,43f,8,00,40,60,ff,7e,9c,09,00
0.002367,370,8,00,20,00,00,00,00,00,00
0.002842,440,8,ff,00,00,00,ff,9c,09,00
0.003318,002,8,00,00,00,00,00,01,0f,fd
0.003795,316,8,05,21,3c,0a,21,1e,00,6f
0.010777,43f,8,00,40,60,ff,7e,9b,09,00
0.011246,370,8,00,20,00,00,00,00,00,00
0.011719,440,8,ff,00,00,00,ff,9b,09,00
0.012199,430,8,00,00,00,00,00,00,00,00
0.012672,4b1,8,29,27,27,23,00,00,00,9a
0.013146,1f1,8,08,00,00,00,00,00,00,00
0.013623,153,8,00,21,10,ff,00,ff,00,00
0.014094,002,8,00,00,00,00,00,02,00,92
0.014588,316,8,05,21,3c,0a,21,1e,00,6f
0.015051,18f,8,fe,58,00,00,00,41,00,00
0.020342,4f0,8,00,00,00,80,00,69,d1,13
0.023051,43f,8,00,40,60,ff,7e,9a,09,00
0.026082,260,8,18,21,21,30,08,8f,6f,06
0.026543,2a0,8,04,00,9a,1d,97,02,bd,00
